"gender","condtn","wave","round","position","order","partner","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field_cd","race","imprace","imprelig","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","satis_2","length","numdat_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","you_call","them_cal","date_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3"
0,1,1,10,6,3,1,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,4,10,8,5,8,7,6,7,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,2,2,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,8,7,8,10,7,8,8,1,1,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,4,4,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,10,7,10,7,10,8,10,1,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,6,5,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,6,9,8,9,8,9,7,7,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,5,6,0,0.37,1,25,2,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,10,8,4,8,2,4,3,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,10,7,0,0.35,1,30,2,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,7,10,10,7,10,5,5,1,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,1,8,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,0,5,9,9,5,9,7,6,6,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,7,9,1,-0.47,1,28,2,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,9,8,10,10,7,8,8,8,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,6,8,10,0,-0.19,1,24,2,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,23,1,2,1,1,1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,1,8,9,10,10,8,8,10,8,2,4,3,2,24.14,13.79,20.69,27.59,10.34,3.45,6,8,7,8,6,0,0,0,20,20,20,20,0,20,6,5,6,8,5
0,1,1,10,4,1,1,0,-0.43,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,2,21,1,2,8,1,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,5,8,8,2,2,2,7,5,2,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,0,0,0,30,10,20,20,10,10,4,5,10,6,10
0,1,1,10,4,10,2,0,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,21,1,2,8,1,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,8,6,6,5,5,5,6,4,1,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,0,0,0,30,10,20,20,10,10,4,5,10,6,10
0,1,1,10,4,7,3,0,-0.17,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,1,2,8,1,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,4,6,8,8,6,5,6,5,1,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,0,0,0,30,10,20,20,10,10,4,5,10,6,10
0,1,1,10,4,2,4,1,0.08,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,21,1,2,8,1,2,4,1,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,8,5,5,7,7,9,8,2,1,7,2,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,0,0,0,30,10,20,20,10,10,4,5,10,6,10
